circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.9517144,316.957599,318.4405385,None,317.4411303,317.9419997,z,0.7571942,318.4405385,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,18,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.3075655,320.3082769,321.8079329,None,320.8083132,321.3083177,z,0.8427326,321.8079329,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_lined.png,"(0.75, 0.5)",There were 4 circles,No,m,Low,Yes,0,0,0,0,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.733956,323.7410939,325.2239562,None,324.2243372,324.7252991,m,0.6778404,325.2239562,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_lined.png,"(0.75, 0.25)",There were 3 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,20,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.9748126,326.9749025,328.4578859,None,327.4575706,327.9575509,z,0.5043717,328.4578859,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_notlined.png,"(0.6, 0.5)",There were 3 circles,No,m,Low,No,0,0,0,0,,,,,0,21,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0650172,330.073889,331.5580229,None,330.5583434,331.0586345,m,0.6190203,331.5580229,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
2,2_circles_lined.png,"(0.5, 0.25)",There were 2 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.2443029,333.2583129,334.7402418,None,333.7407128,334.2418522,z,0.6065891,334.7402418,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
3,3_circles_notlined.png,"(0.5, 0.5)",There were 4 circles,No,m,Low,No,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.4208023,336.4240767,337.9070306,None,336.9069439,337.4084201,m,0.563046,337.9070306,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,24,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.5868438,339.5903977,341.0739822,None,340.0747501,340.5736043,z,0.6523892,341.0739822,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
5,5_circles_lined.png,"(0.75, 0.5)",There were 5 circles,Yes,z,Low,Yes,0,0,0,0,,,,,0,25,25,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.8384118,342.8402791,344.3240299,None,343.3237513,343.8237686,z,0.6236554,344.3240299,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,Low,Yes,0,0,0,0,,,,,0,26,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0128873,346.0234425,347.5069523,None,346.5072235,347.0075753,m,0.7996752,347.5069523,None,santtu,1,2021_Nov_26_1449,project_circles,2021.2.3,59.95674719
