circle_amount,file_name,size,prompt,correct_answer,correct_key_resp,condition_size,condition_lined,practice_section.thisRepN,practice_section.thisTrialN,practice_section.thisN,practice_section.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,trials_low.thisRepN,trials_low.thisTrialN,trials_low.thisN,trials_low.thisIndex,trials_high.thisRepN,trials_high.thisTrialN,trials_high.thisN,trials_high.thisIndex,image_2.started,image_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,cross_2.started,cross_2.stopped,practice_low.started,practice_low.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,yes_no_prac.started,yes_no_prac.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,cross.started,cross.stopped,text.started,text.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,24,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.87181220005732,192.88205180002842,194.3685311001027,None,193.36551310005598,193.86552870005835,z,0.363828600035049,194.3685311001027,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 4 circles,Yes,z,Low,No,0,0,0,0,,,,,0,25,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.86800520005636,195.884231400094,197.35068320005666,None,196.34918570006266,196.84873580001295,z,0.38690070004668087,197.35068320005666,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_notlined.png,"(0.6, 0.5)",There were 5 circles,No,m,Low,No,0,0,0,0,,,,,0,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.85061160009354,198.86550130008254,200.33217599999625,None,199.33179570001084,199.83281090005767,m,0.3651635000715032,200.33217599999625,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
4,4_circles_lined.png,"(0.5, 0.5)",There were 5 circles,No,m,Low,Yes,0,0,0,0,,,,,0,27,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.77295430004597,201.78206150000915,203.26731490006205,None,202.2654346000636,202.7655451000901,m,0.43778939999174327,203.26731490006205,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
5,5_circles_notlined.png,"(0.7, 0.5)",There were 5 circles,Yes,z,Low,No,0,0,0,0,,,,,0,28,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.8474281000672,204.8488888000138,206.331533000106,None,205.33206990000326,205.83138690004125,z,0.3735164999961853,206.331533000106,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_lined.png,"(0.75, 0.25)",There were 2 circles,No,m,Low,Yes,0,0,0,0,,,,,0,29,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.78848490002565,207.79823160008527,209.28333090001252,None,208.28213680000044,208.78267080010846,m,0.41480399994179606,209.28333090001252,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
2,2_circles_notlined.png,"(0.5, 0.5)",There were 2 circles,Yes,z,Low,No,0,0,0,0,,,,,0,30,30,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.75187720009126,210.76519800000824,212.23168510000687,None,211.232396800071,211.73195420007687,z,0.36999989999458194,212.23168510000687,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
3,3_circles_notlined.png,"(0.5, 0.5)",There were 3 circles,Yes,z,Low,No,0,0,0,0,,,,,0,31,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.69411130005028,213.69863100000657,215.19651780009735,None,214.18169710005168,214.6818670000648,z,0.31728990003466606,215.19651780009735,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_notlined.png,"(0.5, 0.6)",There were 9 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.76282240008004,216.7652160000289,218.25115610007197,219.26473130006343,217.24877200007904,217.75046450004447,m,1.192414699937217,218.25115610007197,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
10,10_circles_notlined.png,"(0.5, 0.6)",There were 8 circles,No,m,High,No,0,0,0,0,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.61902260000352,220.63252280000597,222.116371500073,None,221.11497510003392,221.61532940005418,m,0.9353324000257999,222.116371500073,None,3,001,2021_Dec_07_1352,project_circles,2021.2.3,59.66206214424098,
